policy_loss,fps,policy_entropy,n_updates,time_elapsed,clipfrac,total_timesteps,serial_timesteps,approxkl,explained_variance,value_loss,ep_reward_mean,ep_len_mean
-0.004836715,126,4.2599277,1,6.198883056640625e-06,0.0044642854,896,128,0.0009681106,0.004066288471221924,0.7741619,,
-0.004303402,129,4.2647667,2,7.1040003299713135,0.00390625,1792,256,0.0012681045,0.351457417011261,0.07082339,,
-0.0073719146,134,4.2694726,3,14.035528421401978,0.008649553,2688,384,0.0016734315,0.005531191825866699,0.47506642,,
-0.011196548,136,4.270813,4,20.678699016571045,0.043247767,3584,512,0.0038898876,0.05794382095336914,0.22143613,,
-0.009038247,134,4.2707334,5,27.245858907699585,0.06277902,4480,640,0.0048992205,0.09025317430496216,0.28020304,,
-0.008619525,131,4.268524,6,33.924601316452026,0.044921875,5376,768,0.00394331,0.34397828578948975,0.12354837,,
-0.008027601,135,4.2658124,7,40.74092411994934,0.06808036,6272,896,0.005372948,0.4595300555229187,0.054636724,,
-0.0012864582,75,4.2641,8,47.36983013153076,0.0008370536,7168,1024,0.0005064693,0.09776675701141357,0.13189101,3205.417628,1001.0
-0.0007939992,135,4.262491,9,59.22114181518555,0.0047433036,8064,1152,0.0012127582,0.5662131607532501,0.016084353,3205.417628,1001.0
-0.001328415,142,4.260065,10,65.8412082195282,0.0036272323,8960,1280,0.00088784914,0.36964577436447144,0.022823358,3205.417628,1001.0
-0.0015937535,134,4.258597,11,72.14531207084656,0.0033482146,9856,1408,0.001173726,0.22866255044937134,0.028159073,3205.417628,1001.0
-0.0022519452,144,4.2577734,12,78.82027816772461,0.04715402,10752,1536,0.004018924,0.2400912046432495,0.02380808,3205.417628,1001.0
-0.0029539329,141,4.2573357,13,85.03076004981995,0.009486608,11648,1664,0.001502078,0.5817705392837524,0.008994374,3205.417628,1001.0
-0.0066070007,145,4.256607,14,91.3671805858612,0.05691964,12544,1792,0.004532175,0.6400154531002045,0.0076121236,3205.417628,1001.0
-0.007648385,143,4.2534947,15,97.53063440322876,0.05245536,13440,1920,0.004262343,0.6467702388763428,0.008423634,3205.417628,1001.0
-0.0013964775,74,4.2516117,16,103.79538559913635,0.00027901787,14336,2048,0.0005303803,-0.0889672040939331,0.15198043,4391.441620714285,1001.0
-0.0009826683,145,4.251228,17,115.83379745483398,0.007533482,15232,2176,0.0018011765,-0.2772235870361328,0.012681258,4391.441620714285,1001.0
-0.004168993,140,4.2482557,18,121.98613381385803,0.026785716,16128,2304,0.0028637645,-0.48728322982788086,0.011128658,4391.441620714285,1001.0
-0.010631476,137,4.241806,19,128.38197922706604,0.097377226,17024,2432,0.0075093834,-0.33064544200897217,0.009624716,4391.441620714285,1001.0
-0.009289132,133,4.240481,20,134.91468000411987,0.06584822,17920,2560,0.0049154856,-0.236322283744812,0.008170921,4391.441620714285,1001.0
